Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/16/2021	14	73	72	73	71	69	71	66
01/16/2021	15	73	72	71	71	69	71	66
01/16/2021	16	73	72	73	71	69	71	66
01/16/2021	17	73	72	75	71	69	71	67
01/16/2021	18	73	72	74	71	69	71	66
01/16/2021	19	73	72	71	71	69	71	67
01/16/2021	20	73	72	72	71	69	71	67
01/16/2021	21	73	72	75	71	69	71	67
01/16/2021	22	73	72	74	71	69	71	66
01/16/2021	23	73	72	73	71	69	71	67
01/17/2021	 0	73	72	71	71	69	71	66
01/17/2021	 1	73	72	75	71	69	71	66
01/17/2021	 2	73	72	75	71	69	71	67
01/17/2021	 3	73	72	73	71	69	71	67
01/17/2021	 4	73	72	72	71	69	71	67
01/17/2021	 5	73	72	75	71	69	71	66
01/17/2021	 6	73	72	75	71	69	71	67
01/17/2021	 7	73	72	71	71	69	71	67
01/17/2021	 8	73	72	75	71	69	71	67
01/17/2021	 9	73	72	75	71	69	71	67
01/17/2021	10	73	72	73	71	69	71	67
01/17/2021	11	73	72	72	71	69	71	66
01/17/2021	12	73	72	75	71	69	71	66
01/17/2021	13	73	72	74	71	69	71	66
01/17/2021	14	73	72	71	71	69	71	67
01/17/2021	15	73	72	75	71	69	71	67
01/17/2021	16	73	72	74	71	69	71	67
01/17/2021	17	73	72	73	71	69	71	67
01/17/2021	18	73	72	74	71	69	71	67
01/17/2021	19	73	72	75	71	69	71	67
01/17/2021	20	73	72	74	71	69	71	67
01/17/2021	21	73	72	74	71	69	71	66
01/17/2021	22	73	72	75	71	69	71	67
01/17/2021	23	72	72	72	71	69	71	66
01/18/2021	 0	72	72	75	71	69	71	66
01/18/2021	 1	73	72	74	71	69	71	66
01/18/2021	 2	72	72	75	71	69	71	67
01/18/2021	 3	73	72	74	71	69	71	66
01/18/2021	 4	73	72	76	71	69	71	66
01/18/2021	 5	72	72	74	71	69	71	67
01/18/2021	 6	72	72	75	71	69	71	67
01/18/2021	 7	73	72	74	71	69	71	67
01/18/2021	 8	72	72	74	71	69	71	67
01/18/2021	 9	72	72	75	71	69	71	66
01/18/2021	10	72	72	74	71	69	71	67
01/18/2021	11	72	72	72	71	69	71	67
01/18/2021	12	72	72	75	71	69	71	67
01/18/2021	13	72	72	74	71	69	71	66
01/18/2021	14	72	72	73	71	69	71	67
01/18/2021	15	72	72	71	71	69	70	67
01/18/2021	16	72	72	75	71	69	70	67
01/18/2021	17	72	72	75	71	69	70	67
01/18/2021	18	72	72	74	71	69	70	67
01/18/2021	19	72	72	72	71	69	70	67
01/18/2021	20	72	72	75	71	69	71	67
01/18/2021	21	72	72	74	71	69	70	68
01/18/2021	22	72	72	71	71	69	70	67
01/18/2021	23	72	72	76	71	69	71	67
01/19/2021	 0	72	72	76	71	69	71	67
01/19/2021	 1	72	72	76	71	69	71	67
01/19/2021	 2	72	72	76	71	69	71	67
01/19/2021	 3	72	72	76	71	69	71	67
01/19/2021	 4	73	72	75	71	69	71	67
01/19/2021	 5	72	72	75	71	69	71	66
01/19/2021	 6	72	72	76	71	69	71	66
01/19/2021	 7	72	72	76	71	69	71	67
01/19/2021	 8	72	72	76	71	69	71	67
01/19/2021	 9	72	72	76	71	69	71	66
01/19/2021	10	72	72	75	71	69	71	68
01/19/2021	11	72	72	76	71	69	71	67
01/19/2021	12	72	72	75	71	69	71	67
01/19/2021	13	72	72	71	71	69	71	68
01/19/2021	14	72	72	75	71	69	71	67
01/19/2021	15	72	72	75	71	69	71	67
01/19/2021	16	73	72	71	71	69	70	68
01/19/2021	17	73	72	75	71	69	71	68
01/19/2021	18	73	72	73	72	69	70	67
01/19/2021	19	73	72	71	71	69	71	68
01/19/2021	20	73	72	75	71	69	71	68
01/19/2021	21	73	72	75	71	69	71	67
01/19/2021	22	73	72	73	71	69	71	67
01/19/2021	23	73	72	76	71	69	71	67
01/20/2021	 0	73	72	76	71	69	71	68
01/20/2021	 1	73	72	76	71	69	71	67
01/20/2021	 2	73	72	76	71	69	71	68
01/20/2021	 3	73	72	76	71	69	71	67
01/20/2021	 4	73	72	76	71	69	71	67
01/20/2021	 5	72	72	77	71	69	71	68
01/20/2021	 6	72	72	77	71	69	71	67
01/20/2021	 7	72	72	77	71	69	71	68
01/20/2021	 8	72	72	77	71	69	71	67
01/20/2021	 9	72	72	75	71	69	71	67
01/20/2021	10	72	72	75	71	69	71	67
01/20/2021	11	72	72	72	71	69	71	67
01/20/2021	12	72	72	73	71	69	71	67
01/20/2021	13	72	72	71	71	69	71	68
01/20/2021	14	72	72	71	71	69	71	67
01/20/2021	15	73	72	71	71	69	71	67
01/20/2021	16	73	72	71	71	69	71	67
01/20/2021	17	73	72	70	71	69	71	67
01/20/2021	18	73	72	72	71	69	71	67
01/20/2021	19	73	72	74	71	69	71	67
01/20/2021	20	73	72	74	71	69	70	67
01/20/2021	21	73	72	72	71	69	70	67
01/20/2021	22	73	72	71	71	69	71	66
01/20/2021	23	73	72	74	71	69	71	67
01/21/2021	 0	73	72	74	71	69	71	66
01/21/2021	 1	73	72	71	71	69	71	67
01/21/2021	 2	73	72	75	71	69	71	66
01/21/2021	 3	73	72	74	71	69	71	66
01/21/2021	 4	73	72	72	71	69	71	67
01/21/2021	 5	73	72	75	71	69	71	67
01/21/2021	 6	73	72	74	71	69	71	67
01/21/2021	 7	73	72	75	71	69	71	67
01/21/2021	 8	73	72	75	71	69	71	67
01/21/2021	 9	73	72	73	71	69	71	67
01/21/2021	10	73	72	71	71	69	71	67
01/21/2021	11	73	72	71	71	69	71	67
01/21/2021	12	73	72	71	71	69	71	67
01/21/2021	13	73	72	71	71	69	71	68
01/21/2021	14	73	72	71	71	69	71	68
01/21/2021	15	73	72	71	71	69	71	68
01/21/2021	16	73	72	71	71	69	71	68
01/21/2021	17	73	72	71	71	69	71	67
01/21/2021	18	73	72	71	71	69	71	68
01/21/2021	19	73	72	70	71	69	71	67
01/21/2021	20	73	72	74	71	69	71	67
01/21/2021	21	73	72	71	71	69	71	67
01/21/2021	22	73	72	71	71	69	71	67
01/21/2021	23	73	72	71	71	69	71	67
01/22/2021	 0	73	72	71	71	69	71	67
01/22/2021	 1	73	72	72	71	69	71	67
01/22/2021	 2	73	72	74	71	69	71	67
01/22/2021	 3	72	72	74	71	69	71	67
01/22/2021	 4	72	72	72	71	69	71	67
01/22/2021	 5	72	72	75	71	69	71	67
01/22/2021	 6	72	72	74	71	69	71	67
01/22/2021	 7	72	72	75	71	69	71	67
01/22/2021	 8	72	72	75	71	69	71	68
01/22/2021	 9	72	72	76	71	69	71	67
01/22/2021	10	72	72	71	71	69	71	67
01/22/2021	11	73	72	71	71	69	71	67
01/22/2021	12	73	72	71	71	69	71	68
01/22/2021	13	72	72	71	71	69	71	68
01/22/2021	14	72	72	71	71	69	71	68
01/22/2021	15	72	72	71	71	69	71	68
01/22/2021	16	72	72	71	71	69	71	68
01/22/2021	17	72	72	71	71	69	71	68
01/22/2021	18	72	72	70	71	69	71	67
01/22/2021	19	72	72	74	71	69	71	67
01/22/2021	20	72	72	74	71	69	71	67
01/22/2021	21	72	72	74	71	69	71	68
01/22/2021	22	72	72	73	71	69	71	68
01/22/2021	23	72	72	73	71	69	71	67
01/23/2021	 0	72	72	74	71	69	71	67
01/23/2021	 1	72	72	73	71	69	71	67
01/23/2021	 2	72	72	74	71	69	71	67
01/23/2021	 3	72	72	73	71	69	71	68
01/23/2021	 4	72	71	75	71	69	71	67
01/23/2021	 5	72	71	76	71	69	71	68
01/23/2021	 6	72	71	76	71	69	71	67
01/23/2021	 7	72	71	76	71	69	71	68
01/23/2021	 8	72	71	76	71	69	71	66
01/23/2021	 9	72	71	76	71	69	71	68
01/23/2021	10	72	72	75	71	69	71	67
01/23/2021	11	72	72	71	71	69	71	67
01/23/2021	12	72	72	71	71	69	71	67
01/23/2021	13	72	72	71	71	69	71	68
01/23/2021	14	72	72	71	71	69	71	68
01/23/2021	15	72	72	71	71	69	71	68
01/23/2021	16	72	72	70	71	69	71	68
01/23/2021	17	72	72	73	71	69	71	67
01/23/2021	18	72	72	71	71	69	71	67
01/23/2021	19	72	72	71	71	69	71	68
01/23/2021	20	72	72	71	71	69	71	67
01/23/2021	21	73	72	73	71	69	71	67
01/23/2021	22	72	72	75	71	69	71	67
